assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
1,4,102,None,None,1,54694,0,0,0,0,77.3,0,4,7.0,6.5,9,Pierre-Emerick,6.5,6,3,42.6,11,False,134.4,360,,None,110,0,0,0,54694.jpg,6.5,0,0,Aubameyang,22.4,False,None,a,1,3,215.0,26,321317,27235,606014,67140,0.6,2.4,Aubameyang,1
0,2,49,75,100,0,59966,-1,1,-1,1,24.4,0,4,3.0,3.5,5,Alexandre,3.5,3,2,23.3,12,False,78.8,145,Hamstring injury - 75% chance of playing,2019-09-01T18:30:14.246208Z,94,0,0,0,59966.jpg,4.7,0,0,Lacazette,2.9,False,None,d,1,3,129.0,14,68088,6555,123585,20377,0.4,1.5,Lacazette,1
0,0,0,0,0,0,205533,0,0,-1,1,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,13,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,44,0,0,0,205533.jpg,0.0,0,0,Nketiah,1.0,False,None,n,1,3,0.0,0,20041,6558,60441,7029,0.0,0.0,Nketiah,0
0,1,76,None,None,1,80201,0,0,0,0,0.0,0,1,4.0,3.5,3,Bernd,3.5,6,0,9.3,14,False,93.0,360,,None,50,0,0,0,80201.jpg,3.5,0,14,Leno,6.2,False,None,a,1,3,0.0,14,170616,14347,144307,15764,0.7,2.8,Leno,0
0,0,0,100,75,0,37605,0,0,-2,2,0.0,0,3,0.5,0.0,0,Mesut,0.0,0,0,0.0,15,False,0.0,0,,2019-08-09T17:00:13.419733Z,73,0,0,0,37605.jpg,0.0,0,0,Özil,0.6,False,None,a,1,3,0.0,0,3399,875,70909,2492,0.0,0.0,Özil,0
0,0,3,0,None,1,57249,0,0,-1,1,33.9,0,3,1.5,1.0,1,Henrikh,1.0,0,0,8.6,16,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,69,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,1.4,False,None,n,1,3,46.0,4,22347,676,81106,11722,0.1,0.6,Mkhitaryan,1
0,0,30,100,100,1,84450,0,0,-1,1,63.5,0,3,1.7,1.2,1,Granit,1.2,5,0,13.3,18,False,55.2,270,,2019-08-15T10:30:08.210157Z,54,0,0,0,84450.jpg,1.7,0,0,Xhaka,0.9,False,None,a,1,3,14.0,5,17213,2300,61890,3537,0.2,0.9,Xhaka,2
0,0,44,None,None,0,198849,0,0,-1,1,42.4,0,3,2.7,2.2,2,Lucas,2.2,2,1,14.2,19,False,58.0,98,,None,49,0,0,0,198849.jpg,3.0,0,0,Torreira,1.8,False,None,a,1,3,41.0,9,36058,5989,66483,6970,0.4,1.8,Torreira,0
0,0,0,0,100,0,153256,0,0,-1,1,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,20,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,44,0,0,0,153256.jpg,0.0,0,0,Elneny,0.5,False,None,n,1,3,0.0,0,29182,814,24409,8106,0.0,0.0,Elneny,0
1,2,69,None,None,1,242166,0,0,0,0,37.8,0,3,4.0,3.5,7,Matteo,3.5,6,0,17.8,21,False,97.6,355,,None,45,0,0,0,242166.jpg,3.5,0,0,Guendouzi,8.0,False,None,a,1,3,42.0,14,305312,87696,163011,20477,0.8,3.1,Guendouzi,0
0,0,36,None,None,0,41270,0,0,-1,1,5.8,0,2,1.0,0.5,1,David,0.5,6,0,8.1,106,False,72.0,270,,None,59,0,0,0,41270.jpg,0.7,0,0,Luiz Moreira Marinho,6.4,False,None,a,1,3,3.0,2,37342,4749,228644,24496,0.1,0.3,David Luiz,2
0,0,0,None,None,0,98980,0,0,0,0,0.0,0,1,0.5,0.0,0,Emiliano,0.0,0,0,0.0,427,False,0.0,0,,None,45,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,None,a,1,3,0.0,0,1885,237,5705,663,0.0,0.0,Martínez,0
0,0,26,None,None,1,101184,0,0,0,0,0.2,0,2,2.0,1.5,0,Calum,1.5,0,0,1.5,467,False,15.0,90,,None,45,0,0,0,101184.jpg,6.0,0,0,Chambers,0.9,False,None,a,1,3,0.0,6,30254,1346,35537,3845,0.3,1.3,Chambers,0
2,3,50,None,None,0,182539,0,0,2,-2,75.3,1,3,4.3,3.8,1,Daniel,3.8,4,0,18.3,469,False,71.4,195,,None,57,0,0,0,182539.jpg,3.8,0,0,Ceballos Fernández,13.2,False,None,a,1,3,37.0,15,797480,54502,251135,62012,0.7,2.6,Ceballos,0
1,0,32,100,100,0,195735,0,0,-1,1,74.8,0,3,2.7,2.2,5,Nicolas,2.2,5,0,25.2,488,False,53.4,244,,2019-08-09T09:30:12.533555Z,94,0,0,0,195735.jpg,2.2,0,0,Pépé,3.6,False,None,a,1,3,123.0,9,77929,14474,181733,14137,0.2,1.0,Pépé,0
0,0,9,None,None,1,200641,-1,1,-1,1,41.1,0,3,1.3,0.8,0,Reiss,0.8,1,0,9.7,489,False,14.4,115,,None,54,0,0,0,200641.jpg,1.5,0,0,Nelson,0.1,False,None,a,1,3,41.0,3,5672,379,8092,918,0.1,0.5,Nelson,1
0,0,33,None,None,1,200089,0,0,0,0,45.9,0,3,2.3,1.8,0,Joseph,1.8,4,0,10.1,490,False,24.8,233,,None,50,0,0,0,200089.jpg,2.3,0,0,Willock,0.3,False,None,a,1,3,30.0,7,17695,1222,12605,2225,0.4,1.4,Willock,0
0,0,2,None,None,0,444145,0,0,0,0,0.5,0,4,0.7,0.2,0,Gabriel Teodoro,0.2,0,0,0.2,504,False,1.0,6,,None,45,0,0,0,444145.jpg,1.0,0,0,Martinelli Silva,1.6,False,None,a,1,3,0.0,1,87844,4328,66502,9135,0.0,0.2,Martinelli,0
0,0,0,0,0,0,192895,0,0,-1,1,0.0,0,2,0.0,0.0,0,Kieran,0.0,0,0,0.0,515,False,0.0,0,Groin Injury - Expected back 30 Sep,2019-08-09T12:00:11.271398Z,54,0,0,0,192895.jpg,0.0,0,0,Tierney,0.4,False,None,i,1,3,0.0,0,2977,456,33738,1682,0.0,0.0,Tierney,0
0,3,47,None,None,0,37339,0,0,0,0,71.9,0,2,1.0,1.0,0,Ahmed,1.5,5,0,12.3,22,False,50.2,184,,None,45,0,0,0,37339.jpg,2.0,0,0,El Mohamady,1.6,False,None,a,2,7,2.0,6,28175,1654,55603,10117,0.3,1.3,El Mohamady,0
0,0,0,0,0,0,43252,0,0,-1,1,0.0,0,2,0.0,0.0,0,James,0.0,0,0,0.0,23,False,0.0,0,Hamstring injury - Expected back 16 Sep,2019-08-08T17:00:13.859858Z,44,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,None,i,2,7,0.0,0,123,19,4319,311,0.0,0.0,Chester,0
0,0,58,None,None,1,47390,0,0,0,0,20.9,0,2,1.7,1.7,1,Neil,2.2,6,0,10.9,24,False,62.2,360,,None,45,0,0,0,47390.jpg,2.2,0,0,Taylor,0.3,False,None,a,2,7,26.0,9,8053,1280,6297,1058,0.5,2.0,Taylor,1
0,0,0,100,100,0,123354,0,0,0,0,0.0,0,2,-0.5,-0.5,0,Kortney,0.0,0,0,0.0,25,False,0.0,0,,2019-08-15T13:00:13.496241Z,45,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,None,a,2,7,0.0,0,235,52,2209,159,0.0,0.0,Hause,0
0,0,4,50,25,0,54764,0,0,-1,1,0.0,0,4,-0.1,-0.1,0,Jonathan,0.2,2,0,0.2,26,False,0.0,16,Ankle injury - 50% chance of playing,2019-08-15T13:00:13.507539Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.2,False,None,d,2,7,2.0,1,1947,62,20116,1162,0.0,0.2,Kodjia,0
0,0,0,100,100,0,98770,-1,1,-1,1,0.0,0,1,-0.5,-0.5,0,Ørjan,0.0,0,0,0.0,27,False,0.0,0,,2019-07-30T15:00:08.973693Z,44,0,0,0,98770.jpg,0.0,0,0,Nyland,0.2,False,None,a,2,7,0.0,0,1105,252,4461,521,0.0,0.0,Nyland,0
0,0,18,None,None,0,85242,0,0,-2,2,35.9,0,3,0.3,0.3,1,Conor,0.8,2,0,5.8,28,False,22.4,100,,None,58,0,0,0,85242.jpg,1.5,0,0,Hourihane,0.1,False,None,a,2,7,0.0,3,1694,71,10748,653,0.1,0.5,Hourihane,0
1,1,68,None,None,1,114283,0,0,0,0,109.4,0,3,2.5,2.5,1,Jack,3.0,6,0,23.7,29,False,85.8,360,,None,60,0,0,0,114283.jpg,3.0,0,0,Grealish,4.8,False,None,a,2,7,42.0,12,78649,4381,141855,25433,0.5,2.0,Grealish,1
0,0,23,100,100,0,193488,0,0,0,0,16.9,0,3,2.0,2.0,0,Anwar,2.5,5,1,18.2,30,False,38.8,177,,2019-08-04T16:30:15.264156Z,55,0,0,0,193488.jpg,3.3,0,0,El Ghazi,0.4,False,None,a,2,7,125.0,10,19350,1647,16925,3835,0.5,1.8,El Ghazi,0
1,0,58,None,None,1,122806,0,0,1,-1,91.2,0,3,3.7,3.7,2,John,4.2,6,1,27.9,31,False,117.6,360,,None,56,0,0,0,122806.jpg,4.2,0,0,McGinn,6.8,False,None,a,2,7,71.0,17,402113,23811,157499,29619,0.8,3.0,McGinn,0
0,0,0,0,0,0,174597,0,0,-1,1,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,32,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,None,n,2,7,0.0,0,96,7,921,83,0.0,0.0,Green,0
0,0,0,0,0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,33,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.1,False,None,u,2,7,0.0,0,275,27,5000,337,0.0,0.0,Bjarnason,0
